"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @cernicalo: Otro par de cosas que celebrar @lopezobrador_ Emilio Lozoya ya se escap<U+00F3> y Banxico reduj<U+00F3> las expectativas de crecimiento o<U+2026>",FALSE,0,NA,2019-07-02 16:46:02,FALSE,NA,"1146097710690230273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LoboPonce",4,TRUE,FALSE,NA,NA
"<U+00BF>Cu<U+00E1>l es el mejor trabajo de 2019? 
Hay 3 trabajos en el TOP 5 que est<U+00E1>n relacionados con el Big Data y el An<U+00E1>lisis<U+2026> https://t.co/Fi9p7UHxYY",FALSE,0,NA,2019-07-02 16:30:44,TRUE,NA,"1146093859123924994",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","UEuropeaOnline",0,FALSE,FALSE,NA,NA
"RT @materia_ciencia: Un equipo de 14 astr<U+00F3>nomos de varios pa<U+00ED>ses ha recopilado todos los datos existentes sobre este objeto en un estudio q<U+2026>",FALSE,0,NA,2019-07-02 16:19:53,FALSE,NA,"1146091132344033280",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Paco_Catala",42,TRUE,FALSE,NA,NA
"RT @bbcmundo: Es que el momento en que el d<U+00ED>a se hace noche es impresionante, adem<U+00E1>s de arrojar datos muy importantes para la ciencia. Por<U+2026>",FALSE,0,NA,2019-07-02 16:15:22,FALSE,NA,"1146089993183662082",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DiamanteXCLsior",10,TRUE,FALSE,NA,NA
"RT @geofumadas: Lenguajes de programaci<U+00F3>n para realizar ciencia de datos por @mappinggis https://t.co/ez9BRdgvwk https://t.co/TJ6Da93NOB",FALSE,0,NA,2019-07-02 16:09:22,FALSE,NA,"1146088483024506884",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","salvatorevz",3,TRUE,FALSE,NA,NA
"RT @materia_ciencia: Un equipo de 14 astr<U+00F3>nomos de varios pa<U+00ED>ses ha recopilado todos los datos existentes sobre este objeto en un estudio q<U+2026>",FALSE,0,NA,2019-07-02 16:01:46,FALSE,NA,"1146086573328535553",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","radurgon",42,TRUE,FALSE,NA,NA
"RT @EASPsalud: Ciencia de Datos en el <U+00E1>mbito sanitario e introducci<U+00F3>n al #BigData
<U+0001F552> 20h
<U+0001F3EB> Presencial
<U+0001F4DD> Inscripci<U+00F3>n: 4 nov
<U+0001F449><U+0001F3FC> https://t.co/b<U+2026>",FALSE,0,NA,2019-07-02 16:00:28,FALSE,NA,"1146086243048050689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","acabreraleon",5,TRUE,FALSE,NA,NA
"Todos los mi<U+00E9>rcoles llegan a #OnceNi<U+00F1>os el Dr. Gecko, La Dra. A.D. Nina y Epigenio, juntos comparten con su p<U+00FA>blico<U+2026> https://t.co/aQHl5td84O",FALSE,8,NA,2019-07-02 15:58:41,TRUE,NA,"1146085796115558401",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CanalOnceTV",2,FALSE,FALSE,NA,NA
"RT @MappingGIS: Algunos lenguajes de programaci<U+00F3>n imprescindibles para realizar ciencia de datos  https://t.co/fVlLJzB3q7",FALSE,0,NA,2019-07-02 15:58:20,FALSE,NA,"1146085705275174913",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","openmapchile",20,TRUE,FALSE,NA,NA
"RT @perlasotogarcia: Nada que festejar, Amlo:
Desprecia la ciencia y la tecnolog<U+00ED>a 
Desprecia a los expertos
Desprecia la generaci<U+00F3>n de ene<U+2026>",FALSE,0,NA,2019-07-02 15:55:36,FALSE,NA,"1146085020093878274",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","casi18",114,TRUE,FALSE,NA,NA
"@perezcapdevila @IndioHatuey1 Lo hice muchos a<U+00F1>os y llegu<U+00E9> a la conclusi<U+00F3>n que estamos muy pero muy atrasados cuand<U+2026> https://t.co/9indjh4Y7R",FALSE,0,"perezcapdevila",2019-07-02 15:52:04,TRUE,"1146078474018467840","1146084131614416897","800754624516931584","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CUBAPRINCIPIOS",0,FALSE,FALSE,NA,NA
"RT @daniel_nunez_a: Hoy es un d<U+00ED>a esperado x la #Astronom<U+00ED>a mundial, x aficionados, x la ciudadan<U+00ED>a. Los Eclipses aportan nuevos datos a la<U+2026>",FALSE,0,NA,2019-07-02 15:49:42,FALSE,NA,"1146083536358842369",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The_Hudson",8,TRUE,FALSE,NA,NA
"RT @daniel_nunez_a: Hoy es un d<U+00ED>a esperado x la #Astronom<U+00ED>a mundial, x aficionados, x la ciudadan<U+00ED>a. Los Eclipses aportan nuevos datos a la<U+2026>",FALSE,0,NA,2019-07-02 15:48:29,FALSE,NA,"1146083226299052034",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brigadachacon",8,TRUE,FALSE,NA,NA
